accession	strain
HM107689	268s-2009
HM107690	270s-2009
HM107691	As-2009
HM107692	LIs-2009
HM107693	YANGs-2009
HM156065	2009-02877
HM212436	09-20/HuB/CHN/2009
HM212437	09-29H/HuB/CHN/2009
HM212438	09-32H/HuB/CHN/2009
HM212439	09-33T/HuB/CHN/2009
HM212440	09-40H/HuB/CHN/2009
HM212441	TS011/SD/CHN/2003
HM212442	TS013/SD/CHN/2003
HM212443	TS014/SD/CHN/2003
HM212444	9/HeB/CHN/2008
HM212445	11/HeB/CHN/2008
HM212446	20/HeB/CHN/2008
HM212447	24/HeB/CHN/2008
HM212448	40/HeB/CHN/2008
HM212449	48/HeB/CHN/2008
HM212450	50/HeB/CHN/2008
HM212451	08-8/HeN/CHN/2008
HM212452	08-2/JL/CHN/2008
HM212453	08-7/JL/CHN/2008
HM212454	08-8/JL/CHN/2008
HM212455	FY08-7/AH/CHN/2008
HM212456	FY08-4/AH/CHN/2008
HM212457	FY08-9/AH/CHN/2008
HM212458	FY08-16/AH/CHN/2008
HM212459	08-5/YN/CHN/2008
HM212460	082/NX/CHN/2008
HM212461	117/NX/CHN/2008
HM212462	174/NX/CHN/2008
HM212463	201/NX/CHN/2008
HM212464	207/NX/CHN/2008
HM212465	09-1/HeN/CHN/2009
HM212466	09-17/HeN/CHN/2009
HM245927	EV71/Henan/294/2010
HM245928	EV71/Henan/399/2010
HM358809	EV1075/Pahang/08
HM358810	EV0336/Sabah/08
HM358811	EV0372/Sabah/08
HM358812	EV0408/Penang/08
HM358813	EV0466/Johor/08
HM358814	EV0482/Sabah/08
HM358815	EV0562/Penang/08
HM358816	EV0577/Pahang/08
HM358817	EV0758/Sabah/08
HM358818	EV0764/Johor/08
HM358819	EV0811/Peneng/08
HM358820	EV0879/Bintulu/08
HM358821	EV0884/Johor/08
HM358822	EV0891-Johor-08
HM358823	EV0911/Kedah/08
HM358824	EV0943/Johor/08
HM358825	EV0972/Johor/08
HM358826	EV1019/Penang/08
HM358827	EV1025/Penang/08
HM358828	EV1035/Pahang/08
HM358829	EV1078/Johor/08
HM358830	EV1094/Johor/08
HM358831	EV0338/Sabah/08
HM358832	EV0031/Johor/09
HM358833	EV0076/KLumpur/09
HM358834	EV1705/Johor/09
HM358835	EV1945/Kuching/09
HM443644	EV71KOR09-IC
HM443645	EV71KOR09-22
HM443646	EV71KOR09-42
HM443647	EV71KOR09-47
HM443648	EV71KOR09-50
HM443649	EV71KOR09-57
HM443650	EV71KOR09-64
HM443651	EV71KOR09-65
HM443652	EV71KOR09-68
HM443653	EV71KOR09-78
HM443654	EV71KOR09-86
HM443655	EV71KOR09-94
HM443656	EV71KOR09-101
HM443657	EV71KOR09-110
HM443658	EV71KOR09-115
HM443659	EV71KOR09-48
HM443660	EV71KOR09-58
HM443661	EV71KOR09-79
HM443662	EV71KOR09-113
HM443663	EV71KOR09-229
HM443664	EV71KOR09-75
HM447216	BJ09-046
HM447217	BJ09-067
HM447218	BJ09-080
HM447219	BJ09-095
HM447220	BJ09-096
HM447221	SD09-006
HM447222	SD09-028
HM447223	SD09-034
HM447224	SD09-048
HM447225	SHZH09-011
HM447226	SHZH09-019
HM447227	SHZH09-023
HM447228	SHZH09-035
HM447229	SHZH09-051
HM447230	SHZH09-053
HM447231	SHZH09-085
HM447232	SHZH09-116
HM447233	SHZH09-117
HM579938	SHAPHC3H/SH/CHN/08
HM579939	SHAPHC11H/SH/CHN/08
HM579940	SHAPHC34H/SH/CHN/08
HM579941	SHAPHC42T/SH/CHN/08
HM579942	SHAPHC44T/SH/CHN/08
HM579943	SHAPHC59T/SH/CHN/08
HM579944	SHAPHC61T/SH/CHN/08
HM579945	SHAPHC154F/SH/CHN/08
HM622381	2008-04797
HM622382	2008-03450
HM622383	2008-00244
HM622384	2008-08948
HM622385	2008-01811
HM622386	2008-11085
HM622387	2008-11067
HM622388	2008-02571
HM622389	2008-07696
HM622390	2009-03531
HM622391	2008-00643
HM622392	2008-07776
HM752814	119798
HM776019	237/Changsha/China/HFMD/2010
HM776020	253/Changsha/China/HFMD/2010
HM776021	338/Changsha/China/HFMD/2010
HM776022	340/Changsha/China/HFMD/2010
HM776023	342/Changsha/China/HFMD/2010
HM776024	357/Changsha/China/HFMD/2010
HM776025	358/Changsha/China/HFMD/2010
HM776026	400/Changsha/China/HFMD/2010
HM776027	410/Changsha/China/HFMD/2010
HM776028	426/Changsha/China/HFMD/2010
HM776029	430/Changsha/China/HFMD/2010
HM776030	447/Changsha/China/HFMD/2010
HM807310	cmuh-050530-5
HM855950	01-ZJ-CHN-Z-10
HM855951	02-ZJ-CHN-Z-10
HM855952	03-ZJ-CHN-Z-10
HM855953	04-ZJ-CHN-Z-10
HM855954	05-ZJ-CHN-Z-10
HM855955	06-ZJ-CHN-Z-10
HQ005433	China/GD261/2009
HQ005434	China/GD262/2009
HQ005446	China/GD431/2009
HQ005453	China/GD633/2009
HQ005461	China/GD260/2009
HQ005464	China/GD14/2009
HQ005465	China/GD520/2009
HQ005469	China/GD432/2009
HQ129932	BJ06-SJS06
HQ188292	Fuyang-0805a
HQ189392	HUN/1978
HQ283495	TW-645-00
HQ283496	TW-1155-00
HQ283497	TW-1184-00
HQ283498	TW-1743-00
HQ283499	TW-1769-00
HQ283500	TW-1801-00
HQ283501	TW-1804-00
HQ283502	TW-1995-00
HQ283503	TW-1996-00
HQ283504	TW-2006-00
HQ283505	TW-2027-00
HQ283506	TW-2179-00
HQ283507	TW-2188-00
HQ283508	TW-2200-00
HQ283509	TW-2238-00
HQ283510	TW-2242-00
HQ283511	TW-2278-00
HQ283512	TW-2293-00
HQ283513	TW-2387-00
HQ283514	TW-2404-00
HQ283515	TW-2448-00
HQ283516	TW-2473-00
HQ283517	TW-2586-00
HQ283518	TW-2588-00
HQ283519	TW-2632-00
HQ283520	TW-2700-00
HQ283521	TW-2708-00
HQ283522	TW-2720-00
HQ283523	TW-2760-00
HQ283524	TW-2779-00
HQ283525	TW-2784-00
HQ283526	TW-2797-00
HQ283527	TW-2847-00
HQ283528	TW-3123-00
HQ283529	TW-3131-00
HQ283530	TW-3236-00
HQ283531	TW-3307-00
HQ283532	TW-3404-00
HQ283533	TW-3594-00
HQ283534	TW-3704-00
HQ283535	TW-3857-00
HQ283536	TW-3882-00
HQ283537	TW-3970-00
HQ283538	TW-4138-00
HQ283539	TW-4156-00
HQ283540	TW-4279-00
HQ283541	TW-4282-00
HQ283542	TW-4507-00
HQ283543	TW-4527-00
HQ283544	TW-4535-00
HQ283545	TW-4566-00
HQ283546	TW-4568-00
HQ283547	TW-4664-00
HQ283548	TW-4729-00
HQ283549	TW-4741-00
HQ283550	TW-5110-00
HQ283551	TW-5185-00
HQ283552	TW-5365-00
HQ283553	TW-5405-00
HQ283554	TW-5426-00
HQ283555	TW-5447-00
HQ283556	TW-645-01
HQ283557	TW-725-01
HQ283558	TW-1069-01
HQ283559	TW-1280-01
HQ283560	TW-1377-01
HQ283561	TW-1451-01
HQ283562	TW-1470-01
HQ283563	TW-1482-01
HQ283564	TW-1484-01
HQ283566	TW-1583-01
HQ283567	TW-1652-01
HQ283568	TW-1660-01
HQ283569	TW-1662-01
HQ283570	TW-1690-01
HQ283572	TW-1894-01
HQ283573	TW-1940-01
HQ283574	TW-2002-01
HQ283575	TW-2065-01
HQ283576	TW-2089-01
HQ283577	TW-2210-01
HQ283578	TW-2211-01
HQ283579	TW-2220-01
HQ283580	TW-2276-01
HQ283581	TW-2307-01
HQ283582	TW-2317-01
HQ283583	TW-2325-01
HQ283584	TW-2330-01
HQ283585	TW-2331-01
HQ283586	TW-2348-01
HQ283587	TW-2359-01
HQ283588	TW-2459-01
HQ283589	TW-2466-01
HQ283590	TW-2467-01
HQ283591	TW-2489-01
HQ283592	TW-2490-01
HQ283593	TW-2525-01
HQ283594	TW-2582-01
HQ283595	TW-2587-01
HQ283596	TW-2588-01
HQ283597	TW-2608-01
HQ283598	TW-2666-01
HQ283599	TW-2676-01
HQ283600	TW-2679-01
HQ283601	TW-2707-01
HQ283602	TW-2736-01
HQ283603	TW-2743-01
HQ283604	TW-2790-01
HQ283605	TW-2803-01
HQ283606	TW-2812-01
HQ283607	TW-2815-01
HQ283608	TW-2823-01
HQ283609	TW-2844-01
HQ283610	TW-2857-01
HQ283611	TW-2915-01
HQ283612	TW-2935-01
HQ283613	TW-3118-01
HQ283614	TW-3137-01
HQ283615	TW-3147-01
HQ283616	TW-3151-01
HQ283617	TW-3161-01
HQ283618	TW-3166-01
HQ283619	TW-3171-01
HQ283620	TW-3175-01
HQ283621	TW-3194-01
HQ283622	TW-3318-01
HQ283623	TW-3381-01
HQ283624	TW-3389-01
HQ283625	TW-3398-01
HQ283626	TW-3439-01
HQ283627	TW-3459-01
HQ283628	TW-3482-01
HQ283629	TW-3499-01
HQ283630	TW-3523-01
HQ283632	TW-3647-01
HQ283633	TW-3684-01
HQ283634	TW-3694-01
HQ283635	TW-3797-01
HQ283636	TW-3800-01
HQ283637	TW-3802-01
HQ283638	TW-3806-01
HQ283639	TW-3807-01
HQ283640	TW-3815-01
HQ283641	TW-3830-01
HQ283642	TW-3894-01
HQ283643	TW-3909-01
HQ283644	TW-3911-01
HQ283645	TW-3921-01
HQ283646	TW-4021-01
HQ283647	TW-4048-01
HQ283648	TW-4064-01
HQ283649	TW-4094-01
HQ283650	TW-4103-01
HQ283651	TW-4137-01
HQ283652	TW-4141-01
HQ283653	TW-4173-01
HQ283654	TW-4294-01
HQ283655	TW-4331-01
HQ283656	TW-4356-01
HQ283657	TW-4399-01
HQ283658	TW-4411-01
HQ283659	TW-4438-01
HQ283660	TW-4451-01
HQ283661	TW-4486-01
HQ283662	TW-4530-01
HQ283663	TW-4625-01
HQ283664	TW-4662-01
HQ283665	TW-4681-01
HQ283666	TW-4687-01
HQ283667	TW-4752-01
HQ283668	TW-4891-01
HQ283669	TW-4924-01
HQ283670	TW-4954-01
HQ283671	TW-4968-01
HQ283672	TW-4983-01
HQ283673	TW-5026-01
HQ283674	TW-5074-01
HQ283675	TW-5078-01
HQ283676	TW-5089-01
HQ283677	TW-5337-01
HQ283678	TW-5373-01
HQ283679	TW-5422-01
HQ283680	TW-5461-01
HQ283681	TW-5472-01
HQ283682	TW-5491-01
HQ283683	TW-5514-01
HQ283684	TW-5531-01
HQ283685	TW-5536-01
HQ283686	TW-5567-01
HQ283687	TW-5580-01
HQ283688	TW-5612-01
HQ283689	TW-5633-01
HQ283690	TW-5686-01
HQ283691	TW-5824-01
HQ283692	TW-5825-01
HQ283693	TW-5904-01
HQ283694	TW-6126-01
HQ283695	TW-6165-01
HQ283696	TW-6173-01
HQ283697	TW-6205-01
HQ283698	TW-6211-01
HQ283699	TW-6213-01
HQ283700	TW-6326-01
HQ283701	TW-6349-01
HQ283702	TW-6528-01
HQ283703	TW-6540-01
HQ283704	TW-146-02
HQ283705	TW-270-02
HQ283706	TW-593-02
HQ283707	TW-616-02
HQ283708	TW-655-02
HQ283709	TW-690-02
HQ283710	TW-748-02
HQ283711	TW-855-02
HQ283712	TW-916-02
HQ283713	TW-1127-02
HQ283714	TW-1727-02
HQ283715	TW-1889-02
HQ283716	TW-1891-02
HQ283717	TW-1893-02
HQ283718	TW-1894-02
HQ283719	TW-1922-02
HQ283720	TW-2034-02
HQ283721	TW-2045-02
HQ283722	TW-2071-02
HQ283723	TW-2190-02
HQ283724	TW-2196-02
HQ283725	TW-2699-02
HQ283726	TW-2792-02
HQ283727	TW-2822-02
HQ283728	TW-2885-02
HQ283729	TW-3074-02
HQ283730	TW-3389-02
HQ283731	TW-3417-02
HQ283732	TW-3506-02
HQ283733	TW-3509-02
HQ283734	TW-3538-02
HQ283735	TW-3552-02
HQ283736	TW-3554-02
HQ283737	TW-3686-02
HQ283738	TW-3716-02
HQ283739	TW-3804-02
HQ283740	TW-3821-02
HQ283741	TW-3881-02
HQ283742	TW-3895-02
HQ283743	TW-3909-02
HQ283744	TW-3929-02
HQ283745	TW-4005-02
HQ283746	TW-4151-02
HQ283747	TW-5086-02
HQ283748	TW-5533-02
HQ283749	TW-5611-02
HQ283750	TW-5634-02
HQ283751	TW-5762-02
HQ283752	TW-5817-02
HQ283753	TW-5837-02
HQ283754	TW-5843-02
HQ283755	TW-5861-02
HQ283756	TW-5863-02
HQ283757	TW-6006-02
HQ283758	TW-6103-02
HQ283759	TW-6269-02
HQ283760	TW-6280-02
HQ283761	TW-6287-02
HQ283762	TW-6301-02
HQ283763	TW-6367-02
HQ283764	TW-6368-02
HQ283765	TW-6382-02
HQ283766	TW-6407-02
HQ283767	TW-6468-02
HQ283768	TW-6736-02
HQ283769	TW-70146-03
HQ283770	TW-70150-03
HQ283771	TW-70167-03
HQ283772	TW-70233-03
HQ283773	TW-991-03
HQ283774	TW-1487-03
HQ283775	TW-70576-03
HQ283776	TW-1370-98
HQ283777	TW-1465-98
HQ283778	TW-1496-98
HQ283779	TW-1507-98
HQ283780	TW-1539-98
HQ283781	TW-1547-98
HQ283782	TW-1602-98
HQ283783	TW-1624-98
HQ283784	TW-1663-98
HQ283785	TW-1692-98
HQ283787	TW-1707-98
HQ283788	TW-1708-98
HQ283789	TW-1733-98
HQ283790	TW-1738-98
HQ283791	TW-1747-98
HQ283793	TW-1788-98
HQ283794	TW-1792-98
HQ283795	TW-1851-98
HQ283796	TW-1859-98
HQ283797	TW-1875-98
HQ283798	TW-1909-98
HQ283799	TW-1910-98
HQ283800	TW-1924-98
HQ283801	TW-1931-98
HQ283802	TW-1933-98
HQ283803	TW-1935-98
HQ283804	TW-1944-98
HQ283805	TW-1970-98
HQ283806	TW-2005-98
HQ283807	TW-2025-98
HQ283808	TW-2051-98
HQ283809	TW-2055-98
HQ283810	TW-2057-98
HQ283811	TW-2060-98
HQ283812	TW-2077-98
HQ283813	TW-2086-98
HQ283814	TW-2100-98
HQ283815	TW-2101-98
HQ283816	TW-2155-98
HQ283817	TW-2172-98
HQ283818	TW-2200-98
HQ283819	TW-2239-98
HQ283820	TW-2254-98
HQ283821	TW-2286-98
HQ283822	TW-2350-98
HQ283823	TW-2414-98
HQ283824	TW-2418-98
HQ283825	TW-2433-98
HQ283826	TW-2459-98
HQ283827	TW-2495-98
HQ283828	TW-2543-98
HQ283829	TW-2553-98
HQ283830	TW-2651-98
HQ283831	TW-2678-98
HQ283832	TW-2733-98
HQ283833	TW-2740-98
HQ283834	TW-2743-98
HQ283835	TW-2799-98
HQ283836	TW-2849-98
HQ283837	TW-2861-98
HQ283838	TW-2869-98
HQ283839	TW-2880-98
HQ283840	TW-2898-98
HQ283841	TW-2911-98
HQ283842	TW-2917-98
HQ283843	TW-2922-98
HQ283844	TW-2938-98
HQ283845	TW-2972-98
HQ283846	TW-2973-98
HQ283847	TW-2981-98
HQ283848	TW-2982-98
HQ283849	TW-2988-98
HQ283850	TW-3014-98
HQ283851	TW-3026-98
HQ283852	TW-3034-98
HQ283853	TW-3074-98
HQ283854	TW-3124-98
HQ283856	TW-3130-98
HQ283857	TW-3170-98
HQ283858	TW-3180-98
HQ283859	TW-3241-98
HQ283860	TW-3283-98
HQ283861	TW-3296-98
HQ283862	TW-3298-98
HQ283863	TW-3339-98
HQ283864	TW-3411-98
HQ283865	TW-3436-98
HQ283866	TW-3445-98
HQ283867	TW-3480-98
HQ283868	TW-3481-98
HQ283869	TW-3483-98
HQ283870	TW-3485-98
HQ283871	TW-3510-98
HQ283872	TW-3535-98
HQ283873	TW-3550-98
HQ283874	TW-3584-98
HQ283875	TW-3592-98
HQ283876	TW-3620-98
HQ283877	TW-3702-98
HQ283878	TW-3712-98
HQ283879	TW-3724-98
HQ283880	TW-4106-98
HQ283881	TW-4215-98
HQ283882	TW-4368-98
HQ283883	TW-4375-98
HQ283884	TW-4510-98
HQ283885	TW-4866-98
HQ283886	TW-4925-98
HQ283887	TW-4931-98
HQ283888	TW-4940-98
HQ283889	TW-5056-98
HQ283890	TW-5390-98
HQ283891	TW-1394-99
HQ283892	TW-1691-99
HQ283893	TW-3351-99
HQ283894	TW-4711-99
HQ283895	TW-4912-99
HQ285091	5026/Sin/2009
HQ285092	4731/Sin/2009
HQ285093	4162/Sin/2006
HQ285094	2805/Sin/2006
HQ285095	4415/Sin/2007
HQ285096	3414/Sin/2008
HQ285097	2658/Sin/2006
HQ285098	4697/Sin/2008
HQ285099	2898/Sin/2008
HQ285100	4668/Sin/2007
HQ285101	2099/Sin/2003
HQ285102	3655/Sin/2001
HQ285103	4151/Sin/2006
HQ285104	2235/Sin/2003
HQ285105	2909/Sin/2008
HQ285106	4706/Sin/2009
HQ285107	4093/Sin/2005
HQ285108	2593/Sin/2005
HQ285109	2069/Sin/2002
HQ325852	EV71/HENAN/DC/2010
HQ328791	EV71/Fuyang.anhui.CHN/20-1
HQ328792	EV71/Fuyang.anhui.CHN/20-1
HQ328793	EV71/Fuyang.anhui.CHN/c30
HQ400942	HZ08
HQ407557	LN009
HQ423142	KMM/09
HQ423143	KM186/09
HQ424433	124151
HQ424434	124098
HQ424435	127018
HQ424436	4044545
HQ424437	128135
HQ426649	2010FJLY008
HQ428125	GX10/33
HQ611148	AH08/06
HQ615421	BJ/CHN/2008
HQ647167	EV054_07
HQ647168	EV92_07
HQ647169	EV090_07
HQ647170	EV124_07
HQ647171	EV141_06
HQ647172	EV063_04
HQ647173	EV003_07
HQ647174	EV123_07
HQ647175	EV053_07
HQ647176	EV049_07
HQ647177	EV073_07
HQ647178	EV082_07
HQ647179	EV144_06
HQ647180	EV034_06
HQ667783	SH/CHN/2009
HQ667784	SH/CHN/2009
HQ667785	SH/CHN/2009
HQ667786	SH/CHN/2009
HQ667787	SH/CHN/2009
HQ668030	08M62434
HQ668031	08t34461
HQ668032	08F50035
HQ668033	07W54573
HQ668034	07H3714
HQ668035	07M60766
HQ668036	07F11462
HQ668037	07F26448
HQ668038	07M4252
HQ668039	07M9339
HQ668040	07M56338
HQ668041	07H23319
HQ668042	07H28107
HQ668043	07t30950
HQ668044	07W40003
HQ668045	07F41522
HQ668046	07S27796
HQ668047	07H15831
HQ668048	07F41934
HQ668049	07M4388
HQ668050	06M47810
HQ668051	05M21586
HQ668052	05M21589
HQ668053	05t4705
HQ668054	05W18060
HQ668055	05H69184
HQ668056	08t41814
HQ668057	08H54113
HQ668058	08F56600
HQ668181	735/CQ/CHN/2010
HQ668182	489/SD/CHN/2010
HQ668183	1204/HN/CHN/2010
HQ668184	1278/HN/CHN/2010
HQ668185	770/CQ/CHN/2010
HQ668186	501/SD/CHN/2010
HQ668187	756/CQ/CHN/2010
HQ668188	740/CQ/CHN/2010
HQ668189	1248/HN/CHN/2010
HQ668190	711/CQ/CHN/2010
HQ668191	1221/HN/CHN/2010
HQ668192	484/SD/CHN/2010
HQ668193	509/CQ/CHN/2010
HQ668194	434/SD/CHN/2010
HQ668195	705/CQ/CHN/2010
HQ668196	696/CQ/CHN/2010
HQ668197	381/SD/CHN/2010
HQ668198	256/SD/CHN/2010
HQ668199	589/SD/CHN/2010
HQ668200	629/SD/CHN/2010
HQ668201	746/CQ/CHN/2010
HQ668202	578/SD/CHN/2010
HQ668203	597/SD/CHN/2010
HQ668204	211/SD/CHN/2010
HQ668205	703/CQ/CHN/2010
HQ668206	379/SD/CHN/2010
HQ668207	385/SD/CHN/2010
HQ668208	170/CQ/CHN/2010
HQ668209	769/CQ/CHN/2010
HQ668210	533/CQ/CHN/2010
HQ668211	535/CQ/CHN/2010
HQ668212	652/SD/CHN/2010
HQ668213	800/CQ/CHN/2010
HQ668214	476/SD/CHN/2010
HQ668215	865/SD/CHN/2010
HQ668216	755/CQ/CHN/2010
HQ668217	765/CQ/CHN/2010
HQ668218	772/CQ/CHN/2010
HQ668219	712/CQ/CHN/2010
HQ668220	611/SD/CHN/2010
HQ668221	780/CQ/CHN/2010
HQ668222	803/CQ/CHN/2010
HQ668223	1245/HN/CHN/2010
HQ668224	1217/HN/CHN/2010
HQ668225	374/SD/CHN/2010
HQ668226	624/SD/CHN/2010
HQ668227	470/SD/CHN/2010
HQ668228	713/CQ/CHN/2010
HQ668229	771/CQ/CHN/2010
HQ668230	625/SD/CHN/2010
HQ668231	220/SD/CHN/2010
HQ668232	762/CQ/CHN/2010
HQ668233	410/SD/CHN/2010
HQ668234	411/SD/CHN/2010
HQ668235	621/SD/CHN/2010
HQ668236	654/SD/CHN/2010
HQ668237	388/SD/CHN/2010
HQ668238	464/SD/CHN/2010
HQ668239	790/CQ/CHN/2010
HQ668240	724/CQ/CHN/2010
HQ668241	359/SD/CHN/2010
HQ668242	371/SD/CHN/2010
HQ668243	701/CQ/CHN/2010
HQ668244	720/CQ/CHN/2010
HQ668245	684/CQ/CHN/2010
HQ668246	478/SD/CHN/2010
HQ668247	1262/HN/CHN/2010
HQ668248	1265/HN/CHN/2010
HQ668249	1239/HN/CHN/2010
HQ668250	497/SD/CHN/2010
HQ668251	442/SD/CHN/2010
HQ668252	157/CQ/CHN/2010
HQ668253	190/CQ/CHN/2010
HQ668254	1207/HN/CHN/2010
HQ668255	1203/HN/CHN/2010
HQ668256	744/CQ/CHN/2010
HQ668257	759/CQ/CHN/2010
HQ668258	760/CQ/CHN/2010
HQ668259	686/CQ/CHN/2010
HQ668260	717/CQ/CHN/2010
HQ668261	498/SD/CHN/2010
HQ668262	667/CQ/CHN/2010
HQ668263	732/CQ/CHN/2010
HQ668264	734/CQ/CHN/2010
HQ668265	767/CQ/CHN/2010
HQ668266	662/CQ/CHN/2010
HQ668267	453/SD/CHN/2010
HQ668268	182/CQ/CHN/2010
HQ668269	365/SD/CHN/2010
HQ668270	655/SD/CHN/2010
HQ668271	462/SD/CHN/2010
HQ668272	1232/HN/CHN/2010
HQ668273	1208/HN/CHN/2010
HQ668274	562/SD/CHN/2010
HQ668275	1211/HN/CHN/2010
HQ668276	1228/HN/CHN/2010
HQ668277	526/CQ/CHN/2010
HQ668278	360/SD/CHN/2010
HQ668279	719/CQ/CHN/2010
HQ668280	469/SD/CHN/2010
HQ668281	393/SD/CHN/2010
HQ668282	604/SD/CHN/2010
HQ668283	636/SD/CHN/2010
HQ668284	527/CQ/CHN/2010
HQ668285	140/CQ/CHN/2010
HQ668286	141/CQ/CHN/2010
HQ668287	783/CQ/CHN/2010
HQ668288	531/CQ/CHN/2010
HQ668289	552/CQ/CHN/2010
HQ668290	378/SD/CHN/2010
HQ668291	670/CQ/CHN/2010
HQ668292	678/CQ/CHN/2010
HQ668293	731/CQ/CHN/2010
HQ668294	784/CQ/CHN/2010
HQ668295	117/CQ/CHN/2010
HQ668296	172/CQ/CHN/2010
HQ668297	835/CQ/CHN/2010
HQ668298	757/CQ/CHN/2010
HQ668299	801/CQ/CHN/2010
HQ668300	802/CQ/CHN/2010
HQ668301	697/CQ/CHN/2010
HQ668302	1256/HN/CHN/2010
HQ668303	1230/HN/CHN/2010
HQ668304	540/CQ/CHN/2010
HQ668305	1226/HN/CHN/2010
HQ668306	443/SD/CHN/2010
HQ668307	729/CQ/CHN/2010
HQ668308	653/SD/CHN/2010
HQ668309	1240/HN/CHN/2010
HQ668310	1206/HN/CHN/2010
HQ668311	1223/HN/CHN/2010
HQ668312	1255/HN/CHN/2010
HQ668313	671/CQ/CHN/2010
HQ668314	674/CQ/CHN/2010
HQ668315	345/SD/CHN/2010
HQ668316	781/CQ/CHN/2010
HQ668317	1267/HN/CHN/2010
HQ668318	403/SD/CHN/2010
HQ668319	176/CQ/CHN/2010
HQ668320	690/CQ/CHN/2010
HQ668321	617/SD/CHN/2010
HQ668322	619/SD/CHN/2010
HQ668323	627/SD/CHN/2010
HQ668324	635/SD/CHN/2010
HQ668325	659/CQ/CHN/2010
HQ668326	579/SD/CHN/2010
HQ668327	373/SD/CHN/2010
HQ668328	1247/HN/CHN/2010
HQ668329	716/CQ/CHN/2010
HQ668330	500/SD/CHN/2010
HQ668331	383/SD/CHN/2010
HQ668332	209/SD/CHN/2010
HQ668333	698/CQ/CHN/2010
HQ668334	214/SD/CHN/2010
HQ668335	788/CQ/CHN/2010
HQ668336	661/CQ/CHN/2010
HQ668337	669/CQ/CHN/2010
HQ668338	668/CQ/CHN/2010
HQ668339	679/CQ/CHN/2010
HQ668340	776/CQ/CHN/2010
HQ668341	174/CQ/CHN/2010
HQ668342	444/SD/CHN/2010
HQ668343	618/SD/CHN/2010
HQ668344	736/CQ/CHN/2010
HQ668345	510/CQ/CHN/2010
HQ668346	513/CQ/CHN/2010
HQ668347	156/CQ/CHN/2010
HQ668348	160/CQ/CHN/2010
HQ668349	728/CQ/CHN/2010
HQ668350	544/CQ/CHN/2010
HQ668351	714/CQ/CHN/2010
HQ668352	628/SD/CHN/2010
HQ668353	620/SD/CHN/2010
HQ668354	580/SD/CHN/2010
HQ668355	361/SD/CHN/2010
HQ668356	785/CQ/CHN/2010
HQ668357	496/SD/CHN/2010
HQ668358	704/CQ/CHN/2010
HQ668359	1220/HN/CHN/2010
HQ668360	215/SD/CHN/2010
HQ668361	415/SD/CHN/2010
HQ668362	1257/HN/CHN/2010
HQ668363	351/SD/CHN/2010
HQ668364	245/SD/CHN/2010
HQ668365	395/SD/CHN/2010
HQ668366	336/SD/CHN/2010
HQ668367	341/SD/CHN/2010
HQ668368	333/SD/CHN/2010
HQ668369	419/SD/CHN/2010
HQ668370	343/SD/CHN/2010
HQ668371	677/CQ/CHN/2010
HQ668372	1283/HN/CHN/2010
HQ668373	1281/HN/CHN/2010
HQ668374	1253/HN/CHN/2010
HQ668375	144/CQ/CHN/2010
HQ668376	646/SD/CHN/2010
HQ668377	1225/HN/CHN/2010
HQ668378	676/CQ/CHN/2010
HQ668379	529/CQ/CHN/2010
HQ668380	390/SD/CHN/2010
HQ668381	264/SD/CHN/2010
HQ668382	375/SD/CHN/2010
HQ668383	428/SD/CHN/2010
HQ668384	399/SD/CHN/2010
HQ668385	392/SD/CHN/2010
HQ668386	658/SD/CHN/2010
HQ668387	435/SD/CHN/2010
HQ668388	432/SD/CHN/2010
HQ668389	397/SD/CHN/2010
HQ668390	594/SD/CHN/2010
HQ668391	605/SD/CHN/2010
HQ668392	630/SD/CHN/2010
HQ668393	622/SD/CHN/2010
HQ668394	1202/HN/CHN/2010
HQ668395	673/CQ/CHN/2010
HQ668396	400/SD/CHN/2010
HQ668397	367/SD/CHN/2010
HQ668398	420/SD/CHN/2010
HQ668399	368/SD/CHN/2010
HQ668400	459/SD/CHN/2010
HQ668401	486/SD/CHN/2010
HQ668402	693/CQ/CHN/2010
HQ668403	355/SD/CHN/2010
HQ668404	623/SD/CHN/2010
HQ668405	1242/HN/CHN/2010
HQ668406	818/CQ/CHN/2010
HQ668407	631/SD/CHN/2010
HQ668408	640/SD/CHN/2010
HQ668409	1215/HN/CHN/2010
HQ668410	1224/HN/CHN/2010
HQ668411	572/SD/CHN/2010
HQ668412	348/SD/CHN/2010
HQ668413	1212/HN/CHN/2010
HQ668414	319/SD/CHN/2010
HQ668415	304/SD/CHN/2010
HQ668416	402/SD/CHN/2010
HQ668417	409/SD/CHN/2010
HQ668418	354/SD/CHN/2010
HQ668419	429/SD/CHN/2010
HQ668420	389/SD/CHN/2010
HQ668421	483/SD/CHN/2010
HQ668422	384/SD/CHN/2010
HQ668423	363/SD/CHN/2010
HQ668424	626/SD/CHN/2010
HQ668425	1260/HN/CHN/2010
HQ668426	1213/HN/CHN/2010
HQ668427	1238/HN/CHN/2010
HQ668428	1241/HN/CHN/2010
HQ668429	1234/HN/CHN/2010
HQ668430	1235/HN/CHN/2010
HQ668431	1229/HN/CHN/2010
HQ668432	1222/HN/CHN/2010
HQ668433	613/SD/CHN/2010
HQ668434	238/SD/CHN/2010
HQ668435	1219/HN/CHN/2010
HQ668436	1209/HN/CHN/2010
HQ668437	726/CQ/CHN/2010
